Date,Open,High,Low,Close,Adj Close,Volume,Day
2016-08-03,119.370003,120.5,119.099998,120.449997,110.091133,17830300,721
2016-08-04,120.449997,121.190002,120.260002,120.559998,110.191681,17526700,722
2016-08-05,121.339996,122.580002,120.970001,122.300003,111.782043,28643400,723
2016-08-08,122.349998,122.849998,122.029999,122.239998,111.727188,14625700,724
2016-08-09,122.269997,122.629997,122.139999,122.370003,111.846008,12487700,725
2016-08-10,122.379997,122.599998,121.150002,121.489998,111.041695,19138100,726
2016-08-11,122.029999,122.400002,121.57,122.07,111.571808,21144600,727
2016-08-12,121.830002,122.459999,121.629997,122.190002,111.681511,12251200,728
2016-08-15,122.459999,123.690002,122.43,123.400002,112.787437,22048000,729
2016-08-16,123.080002,123.120003,122.260002,122.400002,111.873436,20244300,730
2016-08-17,122.440002,122.5,121.330002,122.040001,111.544411,20632600,731
2016-08-18,122.080002,122.970001,122.040001,122.940002,112.366997,16244600,732
2016-08-19,122.769997,123.07,122.279999,122.940002,112.366997,17379500,733
2016-08-22,122.68,123.339996,122.330002,123.220001,112.622902,16929700,734
2016-08-23,123.610001,124.459999,123.610001,124.080002,113.408958,21539400,735
2016-08-24,123.940002,124.25,122.769997,123.07,112.485794,21533400,736
2016-08-25,122.620003,123.690002,122.610001,123.309998,112.705177,17023200,737
2016-08-26,123.449997,124.410004,122.300003,123.059998,112.476662,26734400,738
2016-08-29,123.269997,124.169998,123.239998,123.699997,113.061638,14013900,739
2016-08-30,123.830002,124.169998,123.379997,123.93,113.271851,14031300,740
2016-08-31,123.779999,123.889999,122.550003,123.230003,112.632065,29236300,741
2016-09-01,123.339996,123.629997,122.019997,123.32,112.714317,22964700,742
2016-09-02,124.010002,124.529999,123.629997,124.510002,113.801979,23083300,743
2016-09-06,124.919998,124.970001,123.970001,124.629997,113.911652,13711000,744
2016-09-07,124.550003,125.440002,124.480003,125.410004,114.624565,17830500,745
2016-09-08,125.309998,125.410004,124.769997,125.160004,114.396072,16265500,746
2016-09-09,124.18,124.209999,121.209999,121.25,110.822319,54239000,747
2016-09-12,120.690002,122.970001,120.580002,122.940002,112.366997,33408100,748
2016-09-13,122.059998,122.160004,119.879997,120.580002,110.209953,47536200,749
2016-09-14,120.769997,121.470001,120.290001,120.599998,110.228226,30545500,750
